tokenized_and_stemmed,tweet_english
ikn khianat jokowi bisa makzul video 3 lengkap,"If Jokowi's betrayal can be impeached, complete video 3"
kok salah siapa2 yang suruh bikin jalan tol tidak bayar invoice trus malag bikin ikn ratus t,How come it's wrong for anyone who orders to build a toll road to not pay the invoice and then be lazy about making hundreds of thousands of dollars
ikn khianat jokowi bisa makzul video 2 lengkap,"If Jokowi's betrayal can be impeached, complete video 2"
nilai investasi groundbreaking ikn nusantara tahap empat capai 1 1 triliun rupiah,The investment value for the fourth phase of Indonesian IKN groundbreaking has reached 1.1 trillion rupiah
rezim emang rezim ngasal bikin proyek dl baru mikir ikn grabak grubuk bikin habis trilyunan investor ada ujung rakyat peras pajak hibur naik pajak mobil motor pokok modol nanti pajak,"the regime really refuses to make projects before thinking about fish grabs and grub making trillions of investors run out at the end of the people squeezing entertainment taxes to increase taxes on cars, motorbikes, capital, capital later, taxes"
ikn khianat jokowi bisa makzul video 1 lengkap alhamdulillah batam buzzer uu ite towel hokky,IKN Jokowi's betrayal can be impeached Video 1 complete Thank God Batam Buzzer UU Ite Towel Hokky
bangun jembatan ada duit kalau ikn duit tak tuan banyaaakkk,"build a bridge with money, if you don't have a lot of money, sir"
ikn ingat ingat ikn,ikn remember remember ikn
intiny punya mall gk suka d mallny anies mau stop ikn padahal punya mall udah invest gede2an,"The point is, if you own a mall, you don't like the mall, Anies wants to stop doing business even though you already have a big investment in owning a mall"
waduhhh gimana ikn ini wujud nyata investor takut investasi seperti,"Wow, how is this a real manifestation of investors being afraid of investing like that?"
emang kalo lihat besar pak wong jabat kita punya maha besar bisa bolak balik ada semangat terus abah juang hilir ikn juga juang mati2an,"Indeed, if you look at the size of Mr. Wong, our position is very big, you can go back and forth, there is enthusiasm, bro, you will continue to fight downstream and also fight to the death."
pakai bawa2 nama tuhan segala emang sdh jujur spt alas karena alas investasi ikn aman tach,"Using God's name, everything is honest as a basis because the investment base is safe, right?"
ikn kemarin ada bbrp investor besar mundur karna udah liat kalo ujung ujung bakal henti karna kurang dana,Yesterday several large investors withdrew because they saw that at the end of the day they would stop due to lack of funds
pikir bisnis ikn,think iKn business
plus ngak proyek ikn seperti adik gemoy ,"Plus, it's not an IKN project like my gemoy sister"
nilai investasi groundbreaking ikn nusantara tahap empat capai 1 1 triliun rupiah,The investment value for the fourth phase of Indonesian IKN groundbreaking has reached 1.1 trillion rupiah
cpns fresh graduate tempat ikn ada minat tenang ikn buruk kenapa cuma fasilitas umum belum lengkap bisa jalan kaki kantor,"cpns fresh graduate where there is interest, calm, bad news, why are the public facilities not yet complete, you can walk to the office"
kebut suasana bangun ikn tuju upacara 17 agustus 2024,Accelerate the atmosphere of IKN's wake up to the ceremony on August 17 2024
khareedah baandri bc kiraye ki sahafi sahafat ki fazlooo hai,khareedah baandri bc kiraye ki sahafi sahafat ki fazlooo hai
emang dampak bangun ikn cuma doang pajak bakal pd naik,"Indeed, the only impact of developing fish is that taxes will increase"
kereta cepat bikin pajak motor bensin naik ikn cukup sudah pilih anti ikn 01,"fast trains make petrol motorbike taxes increase, just choose anti-ikn 01"
dapat proyek ikn pak lurah,got the village head's fish project
masalah emang udah invest kan biaya 90 apbn investor ada yang tarik masalah ikn kalau tetep dilanjutin apbn mati negara,"The problem is that if you invest, it costs 90 APBN, investors will have a problem, if you continue with the APBN, the country will die."
hrus arah paklur to wong punya proyek ikn kok inti tak makan siang gratis,"You have to go to Paklur to people who have fish projects, why don't you get a free lunch?"
yok yok anggar 8000t ikn,"Come on, budget 8000t IKN"
mungkin maksud tuhan itu aguan cs banyak kasi uang buat ikn hayaaa,maybe God means that aguan CS will give lots of money for fish hayaaa
klo benar proyek perintah ancam gagal di henti semua indikasi rusak lingkung masuk food estate ikn kalau menang  aminmenang menang udh pasti di evaluasi ulang peace bro,"If it's true, the project orders threatened to fail will be stopped, all indications of environmental damage will enter the food estate, IKN, if you win, amen, win, you'll definitely be re-evaluated, peace bro"
subsidi cabut pajak naik buat subsidi ka cepat bangun ikn tinggal nunggu bubar negeri,"subsidies, withdraw taxes, increase subsidies, if you wake up quickly, you just have to wait for the country to end"
gimana jadi generasi emas biaya fokus ikn untuk didik sehat 2045 ada berapa yang s1 iq rata indonesia skrg 78 udah stunting bodoh sekolah terus jadi generasi emas trus cara ikn nikmat generasi yad,"how to become the golden generation, cost of focusing on fish for healthy education in 2045, how many are there with a bachelor's degree, the average IQ in Indonesia is now 78, already stunted, stupid at school, continue to be the golden generation, then how to make fish delicious for the generation, right?"
jadi ikn untuk buka sawah,so fish to open rice fields
40 kota jadi lebih make sense banding ikn,40 cities make more sense compared to IKN
ikn nusantara,archipelago fish
baru ntn awal yt aneh ya kalau kemal pengaruh jabat ikn jadi host kalimat ikn di nikmat jabat skrg akan nikmat generasi emas masa yad cerita jabat dapat fee proyek ikn jadi generasi emas kalau biaya,"Just waiting for the start, it's strange, yes, if it's still the influence of IKN's position, being the host of IKN's sentence will be a blessing for the current position, it will be a blessing for the golden generation, Masa Yad, the story of the position of getting a fee for the IKN project, becoming a golden generation if it costs"
sabar mbakdok ngga bayang kalo bangun ikn duduk tentu padat ibukota jkt ini,"Be patient, Sis, I can't imagine that when I wake up I'm sitting, the capital city of Jakarta will be very busy"
presiden joko widodo letak batu pertama groundbreaking masjid negara ibu kota nusantara ikn nila rp940 m jokowi kata masjid bisa tampung 61 ribu orang jemaah sebut bangun masjid akan rampung akhir 2024  sandy walsh hokky towel arhan,"President Joko Widodo lays the first stone for the groundbreaking of the national mosque in the capital of the archipelago IKN Nila Rp. 940 m Jokowi said the mosque can accommodate 61 thousand worshipers, said the construction of the mosque will be completed by the end of 2024 Sandy Walsh Hokky Towel Arhan"
lihat ikn,see ikn
salim group masih join sponsors ikn ouch yah metland ouch,salim group still joining sponsors ikn ouch yah metland ouch
tang pimpin baik bisa arah buka hutan wilayah ikn jadi pasu dahulu lawan ,"If you have a good lead, you can open the forest in the fish area so you can use your opponent first"
kemarin ajak ikn mikir mikir soal 5 jam jalan,Yesterday I asked him to think about 5 hours of walking
ikn bakal sukses kalo nyoman nuarta dilibatin sama sekali,IKN will be successful if Nyoman Nuarta is involved at all
sebenernya bagus perintah pindah ikn soal jakarta udah padat banget ada tapi nih harus tengah hutan mending ppu soal ikn tuh jauh beneran tengah hutan,"actually it's good that the order to move fish about Jakarta is already very busy, but it has to be in the middle of the forest, it's better if the PPU for fish is really far away in the middle of the forest"
cek di ig nya ikn di share situ ampe loker loker di share,"Check on IG, the icon is shared there until the locker is shared"
lah mampu laku rezim ini peras rakyat di ikan kpd orang kaya biaya ikn biaya kereta cepat kaya kroni2nya,"This regime is capable of extorting the people by giving money to rich people, paying high-speed train fees to its cronies."
jalan tol ikn tengah bangun begini tampak,This is how the IKN toll road is being built
ikn nusantara,archipelago fish
damping presiden jokowi tinjau ikn erick thohir optimistis training center pssi selesai bulan mei,"Accompanying President Jokowi to review the news, Erick Thorir is optimistic that the PSSI training center will be completed in May"
infrastruktur ikn,iKN infrastructure
infrastruktur ikn,iKN infrastructure
infrastruktur ikn,iKN infrastructure
infrastruktur ikn,iKN infrastructure
infrastruktur ikn,iKN infrastructure
infrastruktur ikn,iKN infrastructure
lukas 11 28 tb ia kata bahagia mereka dengar firman allah yang pelihara,Luke 11 28 TB He said that they were happy to hear the word of God who keeps them
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
presiden minta menpan rb perinci skenario pindah asn ikn,The president asked the Minister of Administrative and Bureaucratic Reform to detail the scenario for moving ASN IKN
hilon geotextile stabilisasi tanah jalan  sebar beban muka lebih rata tanah sebut topang beban baik,"Hilon geotextile stabilizes road soil, spreads the surface load more evenly, so the soil has good load support"
ibu kota nusantara,capital of the archipelago
jokowi luncur nusantara logistics hub and services pt pos indonesia ikn,Jokowi launches Nusantara logistics hub and services PT Pos Indonesia IKN
jokowi optimis upacara hut ke-79 ri selenggara iknk nusantara,Jokowi is optimistic that the Republic of Indonesia's 79th anniversary ceremony will be held by IKNK Nusantara
inspirasi sorban bangun masjid negara ikn nusantara,inspiration for the turban to build the IKN archipelago state mosque
bangun masjid negara ikn mulai,IKN state mosque building begins
bangun ikn dampak baik indonesia,build the good impact of Indonesia
bangun memorial park ikn hormat pahlawan,build a memorial park to honor heroes
presiden memorial park hormat pahlawan diri bangsa,President's Memorial Park honors the nation's heroes
dampak signifikan ekonomi sosial lingkung,significant socio-economic impact on the environment
simbol toleransi moderasi agama bangun masjid negara mulai,"symbol of tolerance, religious moderation, building mosques, the country begins"
presiden apresiasi bangun training center pssi ikn,President appreciates building PSSI IKN training center
saksi elo desain masjid negara ikn pesona sorban jadi sentuh elegan inspirasi   ,"witness your design of the state mosque, the charm of the turban has a touch of elegance, inspiration"
desain masjid negara buat unik tema hijau rencana bangun keliling embung buat,Design a unique state mosque with a green theme. Plan to build around the embung
ikn jadi momentum penting rangkul elemen masyarakat hadap tantang hadap indonesia ini,IKN is an important momentum to embrace elements of society in facing the challenges facing Indonesia
ibu kota nusantara ikn,capital of the Indonesian archipelago
jokowi tilik bangun pusat latih pssi ikn 20 persen,Jokowi oversees building PSSI training center with 20 percent interest
qatar pasti lolos 16 besar piala asia lihat peluang timnas indonesia,"Qatar will definitely qualify for the last 16 of the Asian Cup, see the Indonesian national team's chances"
masyarakat dayak keren dukung ikn wahah baru indonesia,Cool Dayak community supports Indonesia's new Wahah fish
bangun ikn jamin sedia air bersih,wake up and guarantee that clean water is available
kota baru kuat baru ikn keren,new strong city new cool icon
desember 2024 bandar udara ikn siap operasi,December 2024 IKN airport ready for operation
masyarakat suku dayak dukung ikn,Dayak tribal community supports IKN
kalian suka mana jalan meliuk2 benang kusut jalan simetris ketupat,Do you like where the streets twist around the tangled threads on a diamond symmetrical path?
apical mpm group chandra asri,apical mpm group chandra asri
menteri pupr minta bangun rtjm ikn selesai juni 2024,Minister of Public Works and Public Housing asks for construction of RTJM IKN to be completed by June 2024
progres bangun ibu kota nusantara ikn,"progress in building the capital of the archipelago, IKN"
bangun masjid negara ikn telan anggar rp940 miliar,building the state mosque cost IDR 940 billion
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
sebut rupa investasi fasilitas tunjang pada para main,mention a form of investment in supporting facilities for the players
komitmen tum ciptain bibit unggul sepak bola jamin sehat garuda muda no counter,Tum's commitment to creating superior football seeds guarantees the health of young Garuda no counter
presiden jokowi apresiasi mula bangun gedung lps kawasan ikn  gedung lps rupa bukti nyata komitmen perintah wujud ibu kota negara kelas dunia ,President Jokowi appreciates the start of building the LPS building in the IKN LPS building area as real evidence of commitment to the order to create a world-class national capital
presiden jokowi harap masjid negara ikn representasi majemuk indonesia,President Jokowi hopes that the state mosque will be a diverse representation of Indonesia
presiden jokowi groundbreaking bangun gedung kawasan kantor otorita ibu kota nusantara nila 509 miliar kawasan kantor oikn lengkap command center urban gallery,President Jokowi groundbreaking builds building for Indonesian capital authority office area Nila 509 billion OIKN office area complete with command center urban gallery
nusantara logistics hub and services kawasan ikn resmi luncur presiden jokowi biaya logistik jangkau cepat efisien gera logistik indonesia ,"Nusantara Logistics Hub and Services IKN area officially launched by President Jokowi Logistics costs reach quickly, efficiently, Gera Logistics Indonesia"
presiden jokowi groundbreaking jambuluwuk nusantara hotel ikn nila 300 miliar ini tambah jumlah hotel operasi ibu kota nusantara tambah sedia kamar hotel,"President Jokowi groundbreaking Jambuluwuk Nusantara 300 billion Nila fish hotel, increasing the number of hotels operating in the capital of the archipelago, adding hotel rooms"
presiden jokowi groundbreaking memorial park ibu kota nusantara nila 361 miliar ingat semua jasa pahlawan telah juang wujud merdeka indonesia ,"President Jokowi groundbreaking memorial park, capital of the archipelago, worth 361 billion, remembering all the services of the heroes who have fought for Indonesia's independence"
hilon geotextile produk serbaguna aplikasi proyek sipil teknik lingkung proyek bangun,Hilon Geotextile is a multi-purpose product for applications in civil engineering environmental engineering projects
fifa kait tc,tc hook fifa
presiden joko widodo tinjau kembang bangun training center pssi ibu kota negara nusantara ikn najam paser utara kalimantan timur,"President Joko Widodo inspects kembang wake up training center PSSI, capital of the archipelago, IKN Najam Paser Utara, East Kalimantan"
presiden jokowi beri dorong besar proyek infrastruktur ikn groundbreaking tahap 4 tanda langkah maju hotel bintang gudang hijau kantor oikn investasi capai rp 1 1 triliun,President Jokowi gives big push to IKN infrastructure project groundbreaking stage 4 signs of progress Star Hotel Green Warehouse OIKN office Investment reaches IDR 1.1 trillion
jokowi optimis upacara ke-79 hut ri gelar ikn,Jokowi is optimistic that the 79th Indonesian Independence Day ceremony will hold IKN
jokowi optimistis bisa upacara hut ke-79 indonesia ikn lengkap,Jokowi is optimistic that Indonesia's 79th anniversary ceremony will be complete
siar sebut presiden joko widodo menkominfo sapa dengar turut sampai progres bangun jumlah infrastruktur ikn simak informasi lengkap lalu postingan ikut ini,"Broadcast said President Joko Widodo, Minister of Communication and Information, welcome to hear along with the progress of building the number of IKN infrastructure. Check out the complete information and follow this post."
presiden jokowi ungkap pusat latih training center satu sepak bola seluruh indonesia pssi kawasan ibu kota negara ikn nusantara najam paser utara kalimantan timur siap pakai juni 2024 lt,"President Jokowi revealed that the one football training center for all of Indonesia, PSSI, the national capital area, IKN Nusantara, Najam Paser Utara, East Kalimantan, will be ready for use in June 2024 lt"
pindah ibu kota nusantara bawa ubah positif indonesia,moving to the capital of the archipelago brings positive changes to Indonesia
hotel bintang lima besut jambuluwuk ikn mulai bangun lt,Five-star hotel built by Jambuluwuk IKN starts building 1st floor
bangun memorial park ikn bentuk hormat pahlawan,build a memorial park as a form of respect for heroes
hallo warga malang ramai giat hari jadi kabupaten malang ke-449 mimin infoin jadwal jangan lupa pantengin terus ya,"hello Malang residents, there are lots of people active in Malang Regency's 449th anniversary, Mimin, for info on the schedule, don't forget to stay tuned."
bangun ikn wajib lanjut presiden pilih 2024-2024 rencana revisi uu ikn baru,"building the IKN must continue, the president chooses 2024-2024 plans to revise the new IKN law"
presiden jokowi kabar laku leta batu pertama groundbreaking tahap 5 ikn bulan februari,President Jokowi reports that he will sell the first stone of groundbreaking phase 5 of IKN in February
presiden joko widodo jokowi laksana groundbreaking leta batu pertama nusantara warehouse park nwp ibu kota nusantara ikn rabu 17 01 2024 lt,President Joko Widodo Jokowi holds the groundbreaking ceremony for the first stone of the archipelago warehouse park NWP capital city of the archipelago IKN Wednesday 17 01 2024 lt
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
presiden jokowi nyata yakin upacara 17 agustus datang ikn jumlah hotel selesai bangun,President Jokowi is sure that the August 17 ceremony will come when the number of hotels will be built
jokowi resmi masjid negara ikn mampu tampung 61 ribu jamaah,Jokowi's official IKN state mosque can accommodate 61 thousand worshipers
kemarin dagang datang pkm kaltim ngakunya tinggal dekat ikn ada ubah nasib makanya jual keliling aceh subhanallah,"Yesterday, the trader came to Pkm Kaltim and admitted that he lived near the fish, there was a change in his luck, so he sold around Aceh, subhanallah"
komitmen perintah tingkat bangun infrastruktur papua,Command level commitment to build Papuan infrastructure
presiden jokowi optimis upacara hut ke-79 ri gelar ikn,President Jokowi is optimistic that RI's 79th anniversary ceremony will hold the IKN
biaya rp991 miliar masjid negara kawasan ibu kota nusantara ikn target rampung desember 2024 groundbreaking tanda mula konstruksi rabu 17 januari 2024,"cost Rp. 991 billion, state mosque in the archipelago capital region, target for completion in December 2024, groundbreaking, construction start Wednesday, January 17, 2024"
presiden joko widodo laku groundbreaking bangun masjid negara ibu kota negara nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,"President Joko Widodo carries out groundbreaking to build national mosque, capital of the archipelago, East Kalimantan, capacity of houses of worship reaches 61 thousand"
    gb tahap ke-4 ibu kota nusantara bangun hotel kali investasi datang pt arcs house wisata indonesia biasa sebut jambuluwuk bangun jambuluwuk nusantara hotel,"GB 4th stage, capital of the archipelago, builds a hotel, investment comes, PT Arcs House, Indonesian tourism, usually called Jamuluwuk, Builds Jamuluwuk Nusantara Hotel"
presiden joko widodo jokowi klaim investor antre bangun ibu kota nusantara ikn kepala negara nyata kembang bangun ikn jalan baik tanda makin banyak investasi masuk,"President Joko Widodo Jokowi claims that investors are queuing to build the capital of the archipelago, the head of state is actually developing, building things, the roads are good, a sign that more investment is coming in"
presiden jokowi groundbreaking bangun masjid pertama ikn,President Jokowi groundbreaking to build IKN's first mosque
groundbreaking bangun ikn tahap-4 tepat 7 bulan upacara hut merdeka ri ikn jelang hut merdeka ri presiden selalu laku tinjau detail lengkap yuk simak slides ikut,"groundbreaking for building IKN stage-4 exactly 7 months after the Independence Day Ceremony of the Republic of Indonesia ahead of the Independence Day of the Republic of Indonesia, the President always sells, review the complete details, let's see the slides along"
kabar baik nih  hari presiden laku leta batu pertama groundbreaking jumlah infrastruktur ikn rabu 17 1,The good news is that President's Day will sell the first stone for the groundbreaking of the number of IKN infrastructure Wednesday 17 1
posind bangun infrastruktur delivery robot drone advance robotic sorting machine utilisasi operasional logistik guna electric vehicle ev ikn,Posind builds infrastructure for delivery robot drones advance robotic sorting machine utilization of logistics operations for electric vehicles EV IKN
selamat atas luncur nusantara logistics hub and services groundbreaking oikn ikn moga beri kontribusi signifikan dukung aktivitas maju wilayah sebut ,congratulations on the launch of the nusantara logistics hub and services groundbreaking oikn ikn hope to make a significant contribution to support the region's advanced activities
menteri uang gubernur kaltim alokasi anggar nila rp 240 96 juta lurah sepan simak berita lengkap lalu taut bio follow tau berita lingkung tarik lain,"Minister of Money, Governor of East Kalimantan, allocation of IDR 240,96 million indigo budget for Sepan village head, see the complete news then link bio, follow, find out other interesting environmental news"
kepala negara sampai perintah akan bangun gereja wihara pura klenteng samping masjid negara download play store amp app store,The head of state received the order to build a temple temple temple church next to the state mosque. Download Play Store & App Store
bangun masjid negara kerja lama 400 hari kerja nilai bangun capai rp940 miliar,"building the state mosque took 400 working days, the construction value reached IDR 940 billion"
presiden joko widodo jokowi laku groundbreaking bangun masjid negara ibu kota negara ikn nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,"President Joko Widodo Jokowi carries out groundbreaking to build national mosque, capital of the country, IKN Archipelago, East Kalimantan, capacity of houses of worship reaches 61 thousand"
presiden joko widodo laku groundbreaking bangun masjid negara ibu kota negara nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,"President Joko Widodo carries out groundbreaking to build national mosque, capital of the archipelago, East Kalimantan, capacity of houses of worship reaches 61 thousand"
jokowi groundbreaking masjid negara ikn nilai konstruksi capai rp 940 miliar,"Jokowi groundbreaking of the IKN state mosque, construction value reached IDR 940 billion"
bukan sekadar kendara anda sewa alam tak lupa nanti tiap tikung jalan  dapat info sewa mobil,"Don't just rent a car, don't forget that at every corner of the road you will get car rental information"
badan otorita ibu kota nusantara oikn catat realisasi investasi ikn capai rp 41 4 triliun tahun 2023 jumlah meleset target tetap presiden joko widodo besar rp 45 triliun periode sama lt,"Indonesian capital authority body OIKN notes that realization of IKN investment will reach IDR 41.4 trillion in 2023, the amount missed by President Joko Widodo's fixed target is IDR 45 trillion for the same period LT"
presiden joko widodo jokowi resmi mulai bangun masjid negara ibu kota nusantara ikn rabu 17 01 2024 lt,"President Joko Widodo Jokowi officially starts building the national mosque in the capital of the archipelago, Wednesday 17 01 2024 lt"
presiden joko widodo kata masjid perintah akan bangun tempat ibadah di kawasan ibu kota nusantara ikn najam paser utara kalimantan timur lt,"President Joko Widodo said that the mosque order will build a place of worship in the archipelago's capital area, IKN Najam Paser Utara, East Kalimantan, lt"
7  dapat kalian kait 8 prinsip milik ikn yuk kawal bangun ikn terap prinsip sebut ,"You can relate to 7 principles of IKN, let's take care of building IKN, apply these principles"
konsorsium brunei darussalam nyata minat bangun huni ibu kota nusantara ikn deputi bidang dana investasi oikn agung kata minat sebut sampai lalu loi presiden jokowi lt,The Brunei Darussalam Consortium has real interest in building a habitable capital city of the archipelago IKN Deputy for Investment Funds OIKN Agung said interest said until then Loi President Jokowi LT
presiden jokowi unjung ibu kota nusantara ikn nusantara rabu 17 1 kali presiden laku leta batu pertama jumlah infrastruktur saja daftar proyek infrastruktur ikn luncur jokowi lengkap,President Jokowi visits the capital of the archipelago IKN Archipelago Wednesday 17 1 time President sells first stone number of infrastructure only List of Jokowi IKN infrastructure projects complete
masjid negara ikn mulai bangun nilai konstruksi rp 940 miliar lt,"IKN State Mosque begins construction, construction value Rp. 940 billion lt"
presiden joko widodo laku groundbreaking bangun masjid negara ibu kota negara nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,"President Joko Widodo carries out groundbreaking to build national mosque, capital of the archipelago, East Kalimantan, capacity of houses of worship reaches 61 thousand"
presiden harap usaha jasa logistik bisa buat biaya logistik makin jangkau cepat efisien gera logistik seluruh kawasan indonesia,The president hopes that logistics services businesses can make logistics costs more affordable and more efficient in logistics operations throughout Indonesia
pasti hut ri ke-79 selenggara ikn nusantara,Certainly the 79th anniversary of IKN Nusantara will be held
komitmen perintah terus lanjut bangun ikn nusantara,The command's commitment to continue building the Indonesian archipelago
bangun plts atas lahan 100 ha kawasan ikn nusantara,build plts on 100 ha of land in the archipelago fish area
ikn nusantara jadi daya tarik para investor ingin investasi,Indonesian fish have become an attraction for investors who want to invest
proyek bangun ikn nusantara mampu serap 30 kerja lokal,The Indonesian IKN building project is capable of absorbing 30 local jobs
presiden joko widodo jokowi resmi mulai bangun nusantara logistic hub ibu kota nusantara ikn itu tanda langsung seremonial groundbreaking nusantara logistic hub rabu 17 01 2024 lt,"President Joko Widodo Jokowi has officially started building the Nusantara Logistics Hub, the capital of the archipelago. IKN is a direct sign of the ceremonial groundbreaking of the Nusantara Logistics Hub Wednesday 17 01 2024 LT"
presiden joko widodo tolak tuju ibu kota nusantara ikn provinsi kalimantan timur rabu 17 1 2024 ikn presiden agenda laku leta batu pertama groundbreaking jumlah infrastruktur lt,"President Joko Widodo refuses to move to the capital of the archipelago, IKN East Kalimantan Province, Wednesday 17 1 2024 IKN Presidential agenda, Leta, first stone, groundbreaking, number of infrastructure, LT"
ibu kota dki jakarta siap bangun jadi ibu kota mulai 0,the capital city of DKI Jakarta is ready to become the capital city starting from 0
lapor sebut presiden jokowi laku kunjung kerja ke ikn laku jumlah groundbreaking,reports say President Jokowi is visiting work at IKN for groundbreaking
hut indonesia 2024 rencana selenggara di ikn,Indonesia's 2024 anniversary is planned to be held at IKN
hari presiden joko widodo sapa dengar rri siar perdana rri ikn pandu risty rustarto siar langsung studio rri ikn pukul 13 00 wib,"President Joko Widodo's Day, Greetings to Listen to RRI, First Broadcast of RRI IKN Pandu Risty Rustarto Live Broadcast at RRI IKN Studio at 13.00 WIB"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
bangun jalan tol ikn terus kebut kendala bebas lahan jadi tantang utama perintah harap bantu menteri atr progres tetap jaga,"building the IKN toll road continues to speed up land clearance constraints, which is the main challenge, please help the minister to maintain progress"
giur buat kacang lupa kulit nya,Tempting for peanuts to forget the skin
presiden joko widodo sapa dengar rri siar perdana rri ikn pandu risty rustarto langsung studio rri ikn pukul 13 00 wib tonton dengar jaring pro 1 pro3 seluruh indonesia rri net aplikasi rri digital,President Joko Widodo says hello to listen to rri first broadcast of rri ikn pandu risty rustarto live rri ikn studio at 13 00 WIB watch listen net pro 1 pro3 all over indonesia rri net rri digital application
hari jokowi groundbreaking 10 proyek ikn nusantara masjid negara kapasitas 1 juta jemaah lewat,Jokowi's day of groundbreaking of 10 Indonesian National Mosque projects with a capacity of 1 million worshipers passed
bangun ibu kota nusantara ikn rancang bebas kabel gantung bahaya ini sangkut soal estetika kota lt,"building the capital of the archipelago, the design is free from hanging cables, this danger is related to the aesthetics of the city floor"
china railway rolling stock corporation crrc siap pamer teknologi kereta otonom rel ibu kota nusantara ikn menhub budi karya sumadi ungkap unit sebut tiba bulan juli 2024,china railway rolling stock corporation crrc ready to show off autonomous train technology for the archipelago's capital rail IKN Minister of Transportation Budi Karya Sumadi says unit will arrive in July 2024
alas amat saran perintah tunda proyek kereta ikn nusantara fokus infrastruktur dasar lewat,"Alas, the suggestion is to postpone the Indonesian IKN train project to focus on basic infrastructure"
suara,voice
deputi dana investasi otorita ikn agung wicaksono kata groundbreaking sebut bakal tani langsung presiden jokowi,IKN investment fund deputy Agung Wicaksono said the groundbreaking would call President Jokowi's direct farmer
bangun ibu kota baru nusantara batch 1 capai 40 prabowo jokowi gubenur dki benar aje,building a new capital city of the archipelago batch 1 reaches 40 prabowo jokowi governor of dki that's right
oikn ungkap brunei malaysia bantu ri garap ikn,Oikn says Brunei Malaysia is helping RI to work on IKN
alas amat saran perintah tunda proyek kereta ikn nusantara fokus infrastruktur dasar lewat,"Alas, the suggestion is to postpone the Indonesian IKN train project to focus on basic infrastructure"
tanggap gus imin soal potong tumpeng ikn source youtube muhaimin iskandar date 7 januari 2024,Gus Imin's response about cutting tumpeng IKN source YouTube Muhaimin Iskandar date 7 January 2024
otorita ibu kota nusantara oikn target 28 proyek gedung huni ikn rampung bangun dapat fungsional juni 2024 28 proyek sebut diri 17 proyek dana apbn 11 proyek dana non-apbn lt,Indonesian capital authority OIKN targets 28 IKN residential building projects to be completed and functional by June 2024 28 projects to call themselves 17 APBN funding projects 11 non-APBN LT funding projects
komitmen bangun,commitment to build
hemmm vex buddies kira kira kalian mendevelop pake c jg g ,"hmmm, Vex buddies, I think you guys are developing using C and G"
listrik gas target mulai operasi nusantara agustus 2024,gas electricity target to start operating in the archipelago in August 2024
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so the Indonesian people are proud"
