full_text,tokenized_and_stemmed,tweet_english
masyarakat suku dayak dukung ikn,masyarakat suku dayak dukung ikn,Dayak tribal community supports IKN
kalian suka mana jalan meliuk2 benang kusut jalan simetris ketupat,kalian suka mana jalan meliuk2 benang kusut jalan simetris ketupat,Do you like where the roads weave around tangled threads along diamond symmetrical paths?
apical mpm group chandra asri,apical mpm group chandra asri,apical mpm group chandra asri
menteri pupr minta bangun rtjm ikn selesai juni 2024,menteri pupr minta bangun rtjm ikn selesai juni 2024,Minister of Public Works and Public Housing asks for construction of RTJM IKN to be completed by June 2024
progres bangun ibu kota nusantara ikn,progres bangun ibu kota nusantara ikn,"progress in building the capital of the archipelago, IKN"
bangun masjid negara ikn telan anggar rp940 miliar,bangun masjid negara ikn telan anggar rp940 miliar,building the state mosque cost IDR 940 billion
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
sebut rupa investasi fasilitas tunjang pada para main,sebut rupa investasi fasilitas tunjang pada para main,mention a form of investment in supporting facilities for the players
komitmen tum ciptain bibit unggul sepak bola jamin sehat garuda muda no counter,komitmen tum ciptain bibit unggul sepak bola jamin sehat garuda muda no counter,Tum's commitment to creating superior football seeds guarantees the health of young Garuda no counter
presiden jokowi apresiasi mula bangun gedung lps kawasan ikn  gedung lps rupa bukti nyata komitmen perintah wujud ibu kota negara kelas dunia ,presiden jokowi apresiasi mula bangun gedung lps kawasan ikn gedung lps rupa bukti nyata komitmen perintah wujud ibu kota negara kelas dunia,President Jokowi appreciates the start of building the LPS building in the IKN LPS building area as real evidence of commitment to the order to create a world-class national capital
presiden jokowi harap masjid negara ikn representasi majemuk indonesia,presiden jokowi harap masjid negara ikn representasi majemuk indonesia,President Jokowi hopes that the state mosque will be a diverse representation of Indonesia
presiden jokowi groundbreaking bangun gedung kawasan kantor otorita ibu kota nusantara nila 509 miliar kawasan kantor oikn lengkap command center urban gallery,presiden jokowi groundbreaking bangun gedung kawasan kantor otorita ibu kota nusantara nila 509 miliar kawasan kantor oikn lengkap command center urban gallery,President Jokowi groundbreaking builds building for Indonesian capital authority office area Nila 509 billion OIKN office area complete with command center urban gallery
nusantara logistics hub and services kawasan ikn resmi luncur presiden jokowi biaya logistik jangkau cepat efisien gera logistik indonesia ,nusantara logistics hub and services kawasan ikn resmi luncur presiden jokowi biaya logistik jangkau cepat efisien gera logistik indonesia,"Nusantara Logistics Hub and Services IKN area officially launched by President Jokowi Logistics costs reach quickly, efficiently, Gera Logistics Indonesia"
presiden jokowi groundbreaking jambuluwuk nusantara hotel ikn nila 300 miliar ini tambah jumlah hotel operasi ibu kota nusantara tambah sedia kamar hotel,presiden jokowi groundbreaking jambuluwuk nusantara hotel ikn nila 300 miliar ini tambah jumlah hotel operasi ibu kota nusantara tambah sedia kamar hotel,"President Jokowi groundbreaking Jambuluwuk Nusantara 300 billion Nila fish hotel, increasing the number of hotels operating in the capital of the archipelago, adding hotel rooms"
presiden jokowi groundbreaking memorial park ibu kota nusantara nila 361 miliar ingat semua jasa pahlawan telah juang wujud merdeka indonesia ,presiden jokowi groundbreaking memorial park ibu kota nusantara nila 361 miliar ingat semua jasa pahlawan telah juang wujud merdeka indonesia,"President Jokowi groundbreaking memorial park, capital of the archipelago, worth 361 billion, remembering all the services of the heroes who have fought for Indonesia's independence"
hilon geotextile produk serbaguna aplikasi proyek sipil teknik lingkung proyek bangun,hilon geotextile produk serbaguna aplikasi proyek sipil teknik lingkung proyek bangun,Hilon Geotextile is a multi-purpose product for applications in civil engineering environmental engineering projects
fifa kait tc,fifa kait tc,tc hook fifa
presiden joko widodo tinjau kembang bangun training center pssi ibu kota negara nusantara ikn najam paser utara kalimantan timur,presiden joko widodo tinjau kembang bangun training center pssi ibu kota negara nusantara ikn najam paser utara kalimantan timur,"President Joko Widodo inspects kembang wake up training center PSSI, capital of the archipelago, IKN Najam Paser Utara, East Kalimantan"
presiden jokowi beri dorong besar proyek infrastruktur ikn groundbreaking tahap 4 tanda langkah maju hotel bintang gudang hijau kantor oikn investasi capai rp 1 1 triliun,presiden jokowi beri dorong besar proyek infrastruktur ikn groundbreaking tahap 4 tanda langkah maju hotel bintang gudang hijau kantor oikn investasi capai rp 1 1 triliun,President Jokowi gives big push to IKN infrastructure project groundbreaking stage 4 signs of progress Star Hotel Green Warehouse OIKN office Investment reaches IDR 1.1 trillion
jokowi optimis upacara ke-79 hut ri gelar ikn,jokowi optimis upacara ke-79 hut ri gelar ikn,Jokowi is optimistic that the 79th Indonesian Independence Day ceremony will hold IKN
jokowi optimistis bisa upacara hut ke-79 indonesia ikn lengkap,jokowi optimistis bisa upacara hut ke-79 indonesia ikn lengkap,Jokowi is optimistic that Indonesia's 79th anniversary ceremony will be complete
siar sebut presiden joko widodo menkominfo sapa dengar turut sampai progres bangun jumlah infrastruktur ikn simak informasi lengkap lalu postingan ikut ini,siar sebut presiden joko widodo menkominfo sapa dengar turut sampai progres bangun jumlah infrastruktur ikn simak informasi lengkap lalu postingan ikut ini,"Broadcast said President Joko Widodo, Minister of Communication and Information, welcome to hear along with the progress of building the number of IKN infrastructure. Check out the complete information and follow this post."
presiden jokowi ungkap pusat latih training center satu sepak bola seluruh indonesia pssi kawasan ibu kota negara ikn nusantara najam paser utara kalimantan timur siap pakai juni 2024 lt,presiden jokowi ungkap pusat latih training center satu sepak bola seluruh indonesia pssi kawasan ibu kota negara ikn nusantara najam paser utara kalimantan timur siap pakai juni 2024 lt,"President Jokowi revealed that the one football training center for all of Indonesia, PSSI, the national capital area, IKN Nusantara, Najam Paser Utara, East Kalimantan, will be ready for use in June 2024 lt"
pindah ibu kota nusantara bawa ubah positif indonesia,pindah ibu kota nusantara bawa ubah positif indonesia,moving to the capital of the archipelago brings positive changes to Indonesia
hotel bintang lima besut jambuluwuk ikn mulai bangun lt,hotel bintang lima besut jambuluwuk ikn mulai bangun lt,Five-star hotel built by Jambuluwuk IKN starts building 1st floor
bangun memorial park ikn bentuk hormat pahlawan,bangun memorial park ikn bentuk hormat pahlawan,build a memorial park as a form of respect for heroes
hallo warga malang ramai giat hari jadi kabupaten malang ke-449 mimin infoin jadwal jangan lupa pantengin terus ya,hallo warga malang ramai giat hari jadi kabupaten malang ke-449 mimin infoin jadwal jangan lupa pantengin terus ya,"hello Malang residents, there are lots of people active in Malang Regency's 449th anniversary, Mimin, for information on the schedule, don't forget to stay tuned."
bangun ikn wajib lanjut presiden pilih 2024-2024 rencana revisi uu ikn baru,bangun ikn wajib lanjut presiden pilih 2024-2024 rencana revisi uu ikn baru,"building the IKN must continue, the president chooses 2024-2024 plans to revise the new IKN law"
presiden jokowi kabar laku leta batu pertama groundbreaking tahap 5 ikn bulan februari,presiden jokowi kabar laku leta batu pertama groundbreaking tahap 5 ikn bulan februari,President Jokowi reports that he will sell the first stone of groundbreaking phase 5 of IKN in February
presiden joko widodo jokowi laksana groundbreaking leta batu pertama nusantara warehouse park nwp ibu kota nusantara ikn rabu 17 01 2024 lt,presiden joko widodo jokowi laksana groundbreaking leta batu pertama nusantara warehouse park nwp ibu kota nusantara ikn rabu 17 01 2024 lt,President Joko Widodo Jokowi holds the groundbreaking ceremony for the first stone of the archipelago warehouse park NWP capital city of the archipelago IKN Wednesday 17 01 2024 lt
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
presiden jokowi nyata yakin upacara 17 agustus datang ikn jumlah hotel selesai bangun,presiden jokowi nyata yakin upacara 17 agustus datang ikn jumlah hotel selesai bangun,President Jokowi is sure that the August 17 ceremony will come when the number of hotels will be built
jokowi resmi masjid negara ikn mampu tampung 61 ribu jamaah,jokowi resmi masjid negara ikn mampu tampung 61 ribu jamaah,Jokowi's official IKN state mosque can accommodate 61 thousand worshipers
kemarin dagang datang pkm kaltim ngakunya tinggal dekat ikn ada ubah nasib makanya jual keliling aceh subhanallah,kemarin dagang datang pkm kaltim ngakunya tinggal dekat ikn ada ubah nasib makanya jual keliling aceh subhanallah,"Yesterday, the trader came to Pkm Kaltim and admitted that he lived near the fish, there was a change in his luck, so he sold around Aceh, subhanallah"
komitmen perintah tingkat bangun infrastruktur papua,komitmen perintah tingkat bangun infrastruktur papua,Command level commitment to build Papuan infrastructure
presiden jokowi optimis upacara hut ke-79 ri gelar ikn,presiden jokowi optimis upacara hut ke-79 ri gelar ikn,President Jokowi is optimistic that RI's 79th anniversary ceremony will hold the IKN
biaya rp991 miliar masjid negara kawasan ibu kota nusantara ikn target rampung desember 2024 groundbreaking tanda mula konstruksi rabu 17 januari 2024,biaya rp991 miliar masjid negara kawasan ibu kota nusantara ikn target rampung desember 2024 groundbreaking tanda mula konstruksi rabu 17 januari 2024,"cost Rp. 991 billion, state mosque in the archipelago capital region, target for completion in December 2024, groundbreaking, construction start Wednesday, January 17, 2024"
presiden joko widodo laku groundbreaking bangun masjid negara ibu kota negara nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,presiden joko widodo laku groundbreaking bangun masjid negara ibu kota negara nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,"President Joko Widodo carries out groundbreaking to build national mosque, capital of the archipelago, East Kalimantan, capacity of houses of worship reaches 61 thousand"
    gb tahap ke-4 ibu kota nusantara bangun hotel kali investasi datang pt arcs house wisata indonesia biasa sebut jambuluwuk bangun jambuluwuk nusantara hotel,gb tahap ke-4 ibu kota nusantara bangun hotel kali investasi datang pt arcs house wisata indonesia biasa sebut jambuluwuk bangun jambuluwuk nusantara hotel,"GB 4th stage, capital of the archipelago, builds a hotel, investment comes, PT Arcs House, Indonesian tourism, usually called Jamuluwuk, Builds Jamuluwuk Nusantara Hotel"
presiden joko widodo jokowi klaim banyak investor antre bangun ibu kota nusantara ikn kepala negara nyata kembang bangun ikn jalan baik tanda makin banyak investasi masuk,presiden joko widodo jokowi klaim banyak investor antre bangun ibu kota nusantara ikn kepala negara nyata kembang bangun ikn jalan baik tanda makin banyak investasi masuk,"President Joko Widodo Jokowi claims that many investors are queuing to build the capital of the archipelago, the head of state is really developing, the construction is going well, a sign that more investment is coming in"
presiden jokowi groundbreaking bangun masjid pertama ikn,presiden jokowi groundbreaking bangun masjid pertama ikn,President Jokowi groundbreaking to build IKN's first mosque
groundbreaking bangun ikn tahap-4 tepat 7 bulan upacara hut merdeka ri ikn jelang hut merdeka ri presiden selalu laku tinjau detail lengkap yuk simak slides ikut,groundbreaking bangun ikn tahap-4 tepat 7 bulan upacara hut merdeka ri ikn jelang hut merdeka ri presiden selalu laku tinjau detail lengkap yuk simak slides ikut,"groundbreaking for building IKN stage-4 exactly 7 months after the Independence Day Ceremony of the Republic of Indonesia ahead of the Independence Day of the Republic of Indonesia, the President always sells, review the complete details, let's see the slides along"
kabar baik nih  hari presiden laku leta batu pertama groundbreaking jumlah infrastruktur ikn rabu 17 1,kabar baik nih hari presiden laku leta batu pertama groundbreaking jumlah infrastruktur ikn rabu 17 1,The good news is that President's Day will sell the first stone for the groundbreaking of the number of IKN infrastructure Wednesday 17 1
posind bangun infrastruktur delivery robot drone advance robotic sorting machine utilisasi operasional logistik guna electric vehicle ev ikn,posind bangun infrastruktur delivery robot drone advance robotic sorting machine utilisasi operasional logistik guna electric vehicle ev ikn,Posind builds infrastructure for delivery robot drones advance robotic sorting machine utilization of logistics operations for electric vehicles EV IKN
selamat atas luncur nusantara logistics hub and services groundbreaking oikn ikn moga beri kontribusi signifikan dukung aktivitas maju wilayah sebut ,selamat atas luncur nusantara logistics hub and services groundbreaking oikn ikn moga beri kontribusi signifikan dukung aktivitas maju wilayah sebut,congratulations on the launch of the nusantara logistics hub and services groundbreaking oikn ikn hope to make a significant contribution to support the region's advanced activities
menteri uang gubernur kaltim alokasi anggar nila rp 240 96 juta lurah sepan simak berita lengkap lalu taut bio follow tau berita lingkung tarik lain,menteri uang gubernur kaltim alokasi anggar nila rp 240 96 juta lurah sepan simak berita lengkap lalu taut bio follow tau berita lingkung tarik lain,"Minister of Money, Governor of East Kalimantan, allocation of indigo budget of IDR 240.96 million for Sepan sub-district head, see the complete news then link bio, follow, find out other interesting environmental news"
kepala negara sampai perintah akan bangun gereja wihara pura klenteng samping masjid negara download play store amp app store,kepala negara sampai perintah akan bangun gereja wihara pura klenteng samping masjid negara download play store amp app store,The head of state received the order to build a temple temple temple church next to the state mosque. Download Play Store & App Store
bangun masjid negara kerja lama 400 hari kerja nilai bangun capai rp940 miliar,bangun masjid negara kerja lama 400 hari kerja nilai bangun capai rp940 miliar,"building the state mosque took 400 working days, the construction value reached IDR 940 billion"
presiden joko widodo jokowi laku groundbreaking bangun masjid negara ibu kota negara ikn nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,presiden joko widodo jokowi laku groundbreaking bangun masjid negara ibu kota negara ikn nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,"President Joko Widodo Jokowi carries out groundbreaking to build national mosque, capital of the country, IKN Archipelago, East Kalimantan, capacity of houses of worship reaches 61 thousand"
presiden joko widodo laku groundbreaking bangun masjid negara ibu kota negara nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,presiden joko widodo laku groundbreaking bangun masjid negara ibu kota negara nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,"President Joko Widodo carries out groundbreaking to build national mosque, capital of the archipelago, East Kalimantan, capacity of houses of worship reaches 61 thousand"
jokowi groundbreaking masjid negara ikn nilai konstruksi capai rp 940 miliar,jokowi groundbreaking masjid negara ikn nilai konstruksi capai rp 940 miliar,"Jokowi groundbreaking of the IKN state mosque, construction value reached IDR 940 billion"
bukan sekadar kendara anda sewa alam tak lupa nanti tiap tikung jalan  dapat info sewa mobil,bukan sekadar kendara anda sewa alam tak lupa nanti tiap tikung jalan dapat info sewa mobil,"Don't just rent a car, don't forget that at every corner of the road you will get car rental information"
badan otorita ibu kota nusantara oikn catat realisasi investasi ikn capai rp 41 4 triliun tahun 2023 jumlah meleset target tetap presiden joko widodo besar rp 45 triliun periode sama lt,badan otorita ibu kota nusantara oikn catat realisasi investasi ikn capai rp 41 4 triliun tahun 2023 jumlah meleset target tetap presiden joko widodo besar rp 45 triliun periode sama lt,"Indonesian capital authority body OIKN notes that realization of IKN investment will reach IDR 41.4 trillion in 2023, the amount missed by President Joko Widodo's fixed target is IDR 45 trillion for the same period LT"
presiden joko widodo jokowi resmi mulai bangun masjid negara ibu kota nusantara ikn rabu 17 01 2024 lt,presiden joko widodo jokowi resmi mulai bangun masjid negara ibu kota nusantara ikn rabu 17 01 2024 lt,"President Joko Widodo Jokowi officially starts building the national mosque in the capital of the archipelago, Wednesday 17 01 2024 lt"
presiden joko widodo kata masjid perintah akan bangun tempat ibadah di kawasan ibu kota nusantara ikn najam paser utara kalimantan timur lt,presiden joko widodo kata masjid perintah akan bangun tempat ibadah di kawasan ibu kota nusantara ikn najam paser utara kalimantan timur lt,"President Joko Widodo said that the mosque order will build a place of worship in the archipelago's capital area, IKN Najam Paser Utara, East Kalimantan, lt"
7 bagaimana  apa dapat kalian kait 8 prinsip milik ikn yuk kawal bangun ikn terap prinsip sebut ,7 bagaimana apa dapat kalian kait 8 prinsip milik ikn yuk kawal bangun ikn terap prinsip sebut,"7 how can you relate to ikn's 8 principles, let's take care of building ikn, apply these principles"
konsorsium brunei darussalam nyata minat bangun huni ibu kota nusantara ikn deputi bidang dana investasi oikn agung kata minat sebut sampai lalu loi presiden jokowi lt,konsorsium brunei darussalam nyata minat bangun huni ibu kota nusantara ikn deputi bidang dana investasi oikn agung kata minat sebut sampai lalu loi presiden jokowi lt,The Brunei Darussalam Consortium has real interest in building a habitable capital city of the archipelago IKN Deputy for Investment Funds OIKN Agung said interest said until then Loi President Jokowi LT
presiden jokowi unjung ibu kota nusantara ikn nusantara rabu 17 1 kali presiden laku leta batu pertama jumlah infrastruktur apa daftar proyek infrastruktur ikn luncur jokowi lengkap,presiden jokowi unjung ibu kota nusantara ikn nusantara rabu 17 1 kali presiden laku leta batu pertama jumlah infrastruktur apa daftar proyek infrastruktur ikn luncur jokowi lengkap,President Jokowi visits the capital of the archipelago IKN Archipelago Wednesday 17 1 time President sells first stone amount of infrastructure What is the complete list of infrastructure projects IKN Glide Jokowi
masjid negara ikn mulai bangun nilai konstruksi rp 940 miliar lt,masjid negara ikn mulai bangun nilai konstruksi rp 940 miliar lt,"IKN State Mosque begins construction, construction value Rp. 940 billion lt"
presiden joko widodo laku groundbreaking bangun masjid negara ibu kota negara nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,presiden joko widodo laku groundbreaking bangun masjid negara ibu kota negara nusantara kalimantan timur kapasitas rumah ibadah capai 61 ribu,"President Joko Widodo carries out groundbreaking to build national mosque, capital of the archipelago, East Kalimantan, capacity of houses of worship reaches 61 thousand"
presiden harap usaha jasa logistik bisa buat biaya logistik makin jangkau cepat efisien gera logistik seluruh kawasan indonesia,presiden harap usaha jasa logistik bisa buat biaya logistik makin jangkau cepat efisien gera logistik seluruh kawasan indonesia,The president hopes that logistics services businesses can make logistics costs more affordable and more efficient in logistics operations throughout Indonesia
pasti hut ri ke-79 selenggara ikn nusantara,pasti hut ri ke-79 selenggara ikn nusantara,Certainly the 79th anniversary of IKN Nusantara will be held
komitmen perintah terus lanjut bangun ikn nusantara,komitmen perintah terus lanjut bangun ikn nusantara,The command's commitment to continue building the Indonesian archipelago
bangun plts atas lahan 100 ha kawasan ikn nusantara,bangun plts atas lahan 100 ha kawasan ikn nusantara,build plts on 100 ha of land in the archipelago fish area
ikn nusantara jadi daya tarik para investor ingin investasi,ikn nusantara jadi daya tarik para investor ingin investasi,Indonesian fish have become an attraction for investors who want to invest
proyek bangun ikn nusantara mampu serap 30 kerja lokal,proyek bangun ikn nusantara mampu serap 30 kerja lokal,The Indonesian IKN building project is capable of absorbing 30 local jobs
presiden joko widodo jokowi resmi mulai bangun nusantara logistic hub ibu kota nusantara ikn itu tanda langsung seremonial groundbreaking nusantara logistic hub rabu 17 01 2024 lt,presiden joko widodo jokowi resmi mulai bangun nusantara logistic hub ibu kota nusantara ikn itu tanda langsung seremonial groundbreaking nusantara logistic hub rabu 17 01 2024 lt,"President Joko Widodo Jokowi has officially started building the Nusantara Logistics Hub, the capital of the archipelago. IKN is a direct sign of the ceremonial groundbreaking of the Nusantara Logistics Hub Wednesday 17 01 2024 LT"
presiden joko widodo tolak tuju ibu kota nusantara ikn provinsi kalimantan timur rabu 17 1 2024 ikn presiden agenda laku leta batu pertama groundbreaking jumlah infrastruktur lt,presiden joko widodo tolak tuju ibu kota nusantara ikn provinsi kalimantan timur rabu 17 1 2024 ikn presiden agenda laku leta batu pertama groundbreaking jumlah infrastruktur lt,"President Joko Widodo refuses to move to the capital of the archipelago, IKN East Kalimantan Province, Wednesday 17 1 2024 IKN Presidential agenda, Leta, first stone, groundbreaking, number of infrastructure, LT"
ibu kota dki jakarta siap bangun jadi ibu kota mulai 0,ibu kota dki jakarta siap bangun jadi ibu kota mulai 0,the capital city of DKI Jakarta is ready to become the capital city starting from 0
lapor sebut presiden jokowi laku kunjung kerja ke ikn laku jumlah groundbreaking,lapor sebut presiden jokowi laku kunjung kerja ke ikn laku jumlah groundbreaking,reports say President Jokowi is visiting work at IKN for groundbreaking
hut indonesia 2024 rencana selenggara di ikn,hut indonesia 2024 rencana selenggara di ikn,Indonesia's 2024 anniversary is planned to be held at IKN
hari presiden joko widodo sapa dengar rri siar perdana rri ikn pandu risty rustarto siar langsung studio rri ikn pukul 13 00 wib,hari presiden joko widodo sapa dengar rri siar perdana rri ikn pandu risty rustarto siar langsung studio rri ikn pukul 13 00 wib,"President Joko Widodo's Day, Greetings to Listen to RRI, First Broadcast of RRI IKN Pandu Risty Rustarto Live Broadcast at RRI IKN Studio at 13.00 WIB"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
bangun jalan tol ikn terus kebut kendala bebas lahan jadi tantang utama perintah harap bantu menteri atr progres tetap jaga,bangun jalan tol ikn terus kebut kendala bebas lahan jadi tantang utama perintah harap bantu menteri atr progres tetap jaga,"building the IKN toll road continues to speed up land clearance constraints, which is the main challenge, please help the minister to maintain progress"
giur buat kacang lupa kulit nya,giur buat kacang lupa kulit nya,Tempting for peanuts to forget the skin
presiden joko widodo sapa dengar rri siar perdana rri ikn pandu risty rustarto langsung studio rri ikn pukul 13 00 wib tonton dengar jaring pro 1 pro3 seluruh indonesia rri net aplikasi rri digital,presiden joko widodo sapa dengar rri siar perdana rri ikn pandu risty rustarto langsung studio rri ikn pukul 13 00 wib tonton dengar jaring pro 1 pro3 seluruh indonesia rri net aplikasi rri digital,President Joko Widodo says hello to listen to rri first broadcast of rri ikn pandu risty rustarto live rri ikn studio at 13 00 WIB watch listen net pro 1 pro3 all over indonesia rri net rri digital application
hari jokowi groundbreaking 10 proyek ikn nusantara masjid negara kapasitas 1 juta jemaah lewat,hari jokowi groundbreaking 10 proyek ikn nusantara masjid negara kapasitas 1 juta jemaah lewat,Jokowi's day of groundbreaking of 10 Indonesian National Mosque projects with a capacity of 1 million worshipers passed
bangun ibu kota nusantara ikn rancang bebas kabel gantung bahaya ini sangkut soal estetika kota lt,bangun ibu kota nusantara ikn rancang bebas kabel gantung bahaya ini sangkut soal estetika kota lt,"building the capital of the archipelago, the design is free from hanging cables, this danger is related to the aesthetics of the city floor"
china railway rolling stock corporation crrc siap pamer teknologi kereta otonom rel ibu kota nusantara ikn menhub budi karya sumadi ungkap unit sebut tiba bulan juli 2024,china railway rolling stock corporation crrc siap pamer teknologi kereta otonom rel ibu kota nusantara ikn menhub budi karya sumadi ungkap unit sebut tiba bulan juli 2024,china railway rolling stock corporation crrc ready to show off autonomous train technology for the archipelago's capital rail IKN Minister of Transportation Budi Karya Sumadi says unit will arrive in July 2024
alas amat saran perintah tunda proyek kereta ikn nusantara fokus infrastruktur dasar lewat,alas amat saran perintah tunda proyek kereta ikn nusantara fokus infrastruktur dasar lewat,"Alas, the suggestion is to postpone the Indonesian IKN train project to focus on basic infrastructure"
suara,suara,voice
deputi dana investasi otorita ikn agung wicaksono kata groundbreaking sebut bakal tani langsung presiden jokowi,deputi dana investasi otorita ikn agung wicaksono kata groundbreaking sebut bakal tani langsung presiden jokowi,IKN investment fund deputy Agung Wicaksono said the groundbreaking would call President Jokowi's direct farmer
bangun ibu kota baru nusantara batch 1 capai 40 prabowo jokowi gubenur dki benar aje,bangun ibu kota baru nusantara batch 1 capai 40 prabowo jokowi gubenur dki benar aje,building a new capital city of the archipelago batch 1 reaches 40 prabowo jokowi governor of dki that's right
oikn ungkap brunei malaysia bantu ri garap ikn,oikn ungkap brunei malaysia bantu ri garap ikn,Oikn says Brunei Malaysia is helping RI to work on IKN
alas amat saran perintah tunda proyek kereta ikn nusantara fokus infrastruktur dasar lewat,alas amat saran perintah tunda proyek kereta ikn nusantara fokus infrastruktur dasar lewat,"Alas, the suggestion is to postpone the Indonesian IKN train project to focus on basic infrastructure"
tanggap gus imin soal potong tumpeng ikn source youtube muhaimin iskandar date 7 januari 2024,tanggap gus imin soal potong tumpeng ikn source youtube muhaimin iskandar date 7 januari 2024,Gus Imin's response about cutting tumpeng IKN source YouTube Muhaimin Iskandar date 7 January 2024
otorita ibu kota nusantara oikn target 28 proyek gedung huni ikn rampung bangun dapat fungsional juni 2024 28 proyek sebut diri 17 proyek dana apbn 11 proyek dana non-apbn lt,otorita ibu kota nusantara oikn target 28 proyek gedung huni ikn rampung bangun dapat fungsional juni 2024 28 proyek sebut diri 17 proyek dana apbn 11 proyek dana non-apbn lt,Indonesian capital authority OIKN targets 28 IKN residential building projects to be completed and functional by June 2024 28 projects to call themselves 17 APBN funding projects 11 non-APBN LT funding projects
komitmen bangun,komitmen bangun,commitment to build
hemmm bagaimana vex buddies kira kira kalian mendevelop pake c jg g ,hemmm bagaimana vex buddies kira kira kalian mendevelop pake c jg g,"Hmmm, how do you think Vex Buddies will develop using C and G"
listrik gas target mulai operasi nusantara agustus 2024,listrik gas target mulai operasi nusantara agustus 2024,gas electricity target to start operating in the archipelago in August 2024
ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,ikn nusantara jadi pusat adab baru bukan di level nasional di tingkat dunia ini jadi bangga semua masyarakat indonesia,"IKN archipelago has become the center of new customs, not at the national level, at the world level, so all Indonesian people are proud"
